region,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
1,8370.01844446961,36.13093311320427,121903.90221356049,22.048632417130566,30.76016353609384,1,50,1789.4350955890327,28.306324329453442,NA,NA,801.0438441417007,9.30611976571082
2,9305.205849026264,40.281788293227656,176172.84181820994,32.154721582441404,38.91768353140885,NA,NA,2466.3310876284336,39.41543352918205,NA,NA,815.5739566604493,9.547011277939728
3,4343.047376191341,18.181784730209337,41619.18314464288,7.057712992093105,15.279671034599883,1,50,693.5616891396915,10.385363191993449,1,50,917.6399140109475,11.269226348919451
