zone_id_v1,er_web,er_web_rescaled,sa_web,sa_web_rescaled,score_v1_web,sm_web,sm_web_rescaled,sp_web,sp_web_rescaled,ve_web,ve_web_rescaled,vg_web,vg_web_rescaled
1,NA,NA,33341.21400694554,5.615425266530119,14.120798539992647,NA,NA,569.1594470484744,8.35517271939499,NA,NA,NA,NA
2,NA,NA,126988.50943710939,22.99130837346308,30.931001420615722,NA,NA,1878.9029817044666,29.82387542153254,NA,NA,NA,NA
3,NA,NA,215881.896811607,39.57187937718787,45.39129939906945,NA,NA,2923.208892471295,46.873114687839,NA,NA,NA,NA
4,NA,NA,359686.2815384864,66.49979790794302,64.71040208235655,NA,NA,4391.208615588573,70.94467527848285,NA,NA,NA,NA
5,NA,NA,101259.94573894468,18.168475679917538,25.770842837724427,NA,NA,1447.8618677860698,22.715475510200903,NA,NA,NA,NA
6,NA,NA,89085.20066278019,15.950409536796105,27.09254181431834,NA,NA,1507.4785723929715,23.709362830444626,NA,NA,NA,NA
7,NA,NA,37967.711048513105,6.494698546812168,13.646403473511503,NA,NA,638.4173218863444,9.515599363731772,NA,NA,NA,NA
8,NA,NA,182516.7434974831,33.34439423793245,41.0607217205439,NA,NA,2507.622531661433,40.01686985218863,NA,NA,NA,NA
9,NA,NA,52071.238688428675,8.924813498860468,18.228325524114208,NA,NA,806.6192790981886,12.21129812342813,NA,NA,NA,NA
10,NA,NA,38684.96352447046,6.470638143190938,14.189026229237568,NA,NA,686.6215014984507,10.272870422105958,NA,NA,NA,NA
11,NA,NA,199604.41391698632,36.47820769031968,42.66626407678549,NA,NA,2784.481697939883,44.61515904432668,NA,NA,NA,NA
