title
Abandoned Shipwreck Act
Act to Prevent Pollution from Ships and MARPOL 73/78
Clean Water Act
"Comprehensive Environmental Response, Compensation and Liability Act"
Endangered Species Act
Energy Policy Act
"Marine Debris Research, Prevention, and Reduction Act"
Marine Mammal Protection Act
National Environmental Policy Act
National Marine Sanctuaries Act
Outer Continental Shelf Lands Act
Rivers and Harbors Act
US State Submerged Lands
