title
Artificial Reefs
Benthic Cover
Deep-Sea Soft Coral Habitat Suitability
Deep-Sea Stony Coral Habitat Suitability
Essential Fish Habitat (EFH)
Habitat Areas of Particular Concern
Hawaii Benthic Habitat Map - Biological Cover
Hawaii Bottomfish - Catch per unit effort (catch per fishing trip)
Hawaii Brown Booby - Predicted Relative Abundance Aug - Oct
Hawaii Brown Booby - Presences Aug - Oct
Hawaii Humpback Whale -  Presences Winter
Hawaii Humpback Whale - Predicted Relative Abundance Winter
Hawaii Reef Fish - Predicted Total Biomass
Hawaii Reef Fish - Total Biomass
Hawaii Spinner Dolphin - Predicted Relative Abundance Summer
Hawaii Spinner Dolphin - Predicted Relative Abundance Winter
Hawaii Spinner Dolphin - Presences Summer
Hawaii Spinner Dolphin - Presences Winter
Hawaii Wedge-tailed Shearwater - Predicted Relative Abundance Aug - Oct
Hawaii Wedge-tailed Shearwater - Presences Aug - Oct
Individual Deep-Sea Coral Species
Seagrasses
"West Coast Canopy-Forming Kelp, 1989-2014"
West Coast EFH Conservation Areas
West Coast USA Current and Historical Estuary Extent
West Coast USA Estuarine Biotic Habitat
